pants,0,0,0,24.99 
pants,0,0,1,24.99 
pants,0,0,2,24.99
pants,0,0,3,24.99
pants,0,0,4,24.99
pants,0,0,5,24.99
pants,0,0,0,24.99
pants,0,0,1,24.99
pants,0,0,2,24.99
pants,0,0,3,24.99
pants,0,0,4,24.99
pants,0,0,5,24.99
pants,0,1,0,24.99
pants,0,1,1,24.99
pants,0,1,2,24.99
pants,0,1,3,24.99
pants,0,1,4,24.99
pants,0,1,5,24.99
pants,0,1,0,24.99
pants,0,1,1,24.99
pants,0,1,2,24.99
pants,0,1,3,24.99
pants,0,1,4,24.99
pants,0,1,5,24.99
pants,0,2,0,24.99
pants,0,2,1,24.99
pants,0,2,2,24.99
pants,0,2,3,24.99
pants,0,2,4,24.99
pants,0,2,5,24.99
pants,0,2,0,24.99
pants,0,2,1,24.99
pants,0,2,2,24.99
pants,0,2,3,24.99
pants,0,2,4,24.99
pants,0,2,5,24.99
pants,1,0,0,24.99
pants,1,0,1,24.99
pants,1,0,2,24.99
pants,1,0,3,24.99 
pants,1,0,4,24.99 
pants,1,0,5,24.99
pants,1,0,0,24.99
pants,1,0,1,24.99
pants,1,0,2,24.99
pants,1,0,3,24.99
pants,1,0,4,24.99
pants,1,0,5,24.99
pants,1,1,0,24.99
pants,1,1,1,24.99
pants,1,1,2,24.99
pants,1,1,3,24.99
pants,1,1,4,24.99
pants,1,1,5,24.99
pants,1,1,0,24.99
pants,1,1,1,24.99
pants,1,1,2,24.99
pants,1,1,3,24.99
pants,1,1,4,24.99
pants,1,1,5,24.99
pants,1,2,0,24.99
pants,1,2,1,24.99
pants,1,2,2,24.99
pants,1,2,3,24.99
pants,1,2,4,24.99
pants,1,2,5,24.99
pants,1,2,0,24.99
pants,1,2,1,24.99
pants,1,2,2,24.99
pants,1,2,3,24.99
pants,1,2,4,24.99
pants,1,2,5,24.99
END
